"POSITION","BIB","COUNTRY","ATHELTE","MARK","REACTION.TIME","GENDER","EVENT","MIXED","EventGroup"
1,"2571","Jamaica","Oblique SEVILLE","9.77 PB",0.157,"M","100M",0,"Running"
2,"2574","Jamaica","Kishane THOMPSON","9.82",0.16,"M","100M",0,"Running"
3,"3016","United States","Noah LYLES","9.89 SB",0.192,"M","100M",0,"Running"
4,"2976","United States","Kenneth BEDNAREK","9.92",0.211,"M","100M",0,"Running"
5,"2862","South Africa","Gift LEOTLELA","9.95",0.184,"M","100M",0,"Running"
6,"2746","Nigeria","Kayinsola AJAYI","10",0.177,"M","100M",0,"Running"
7,"2873","South Africa","Akani SIMBINE","10.04",0.162,"M","100M",0,"Running"
NA,"2113","Botswana","Letsile TEBOGO","DQ",-0.317,"M","100M",0,"Running"
1,"1414","United States","Melissa JEFFERSON-WOODEN","10.61 CR",0.173,"F","100M",0,"Running"
2,"1020","Jamaica","Tina CLAYTON","10.76 PB",0.203,"F","100M",0,"Running"
3,"1106","St. Lucia","Julien ALFRED","10.84",0.169,"F","100M",0,"Running"
4,"1028","Jamaica","Shericka JACKSON","10.88 =SB",0.18,"F","100M",0,"Running"
5,"1439","United States","Sha'Carri RICHARDSON","10.94 SB",0.178,"F","100M",0,"Running"
6,"1024","Jamaica","Shelly-Ann FRASER-PRYCE","11.03",0.195,"F","100M",0,"Running"
7,"690","Côte d’Ivoire","Marie-Josée TA LOU-SMITH","11.04",0.202,"F","100M",0,"Running"
8,"852","United Kingdom","Dina ASHER-SMITH","11.08",0.186,"F","100M",0,"Running"
1,"3016","United States","Noah LYLES","19.52",0.167,"M","200M",0,"Running"
2,"2976","United States","Kenneth BEDNAREK","19.58 SB",0.179,"M","200M",0,"Running"
3,"2560","Jamaica","Bryan LEVELL","19.64 PB",0.147,"M","200M",0,"Running"
4,"2113","Botswana","Letsile TEBOGO","19.65 SB",0.163,"M","200M",0,"Running"
5,"2380","United Kingdom","Zharnel HUGHES","19.78 SB",0.126,"M","200M",0,"Running"
6,"2258","Dominican Republic","Alexander OGANDO","20.01",0.149,"M","200M",0,"Running"
7,"3065","Zimbabwe","Tapiwanashe MAKARAWU","20.12",0.136,"M","200M",0,"Running"
8,"2853","South Africa","Sinesipho DAMBILE","20.23",0.169,"M","200M",0,"Running"
1,"1414","United States","Melissa JEFFERSON-WOODEN","21.68 WL",0.17,"F","200M",0,"Running"
2,"862","United Kingdom","Amy HUNT","22.14",0.163,"F","200M",0,"Running"
3,"1028","Jamaica","Shericka JACKSON","22.18",0.169,"F","200M",0,"Running"
4,"1377","United States","Anavia BATTLE","22.22",0.15,"F","200M",0,"Running"
5,"852","United Kingdom","Dina ASHER-SMITH","22.43",0.147,"F","200M",0,"Running"
6,"1380","United States","Brittany BROWN","22.54",0.203,"F","200M",0,"Running"
7,"690","Côte d’Ivoire","Marie-Josée TA LOU-SMITH","22.62",0.166,"F","200M",0,"Running"
8,"1423","United States","Mckenzie LONG","22.78",0.197,"F","200M",0,"Running"
NA,"562","Bahamas","Anthonique STRACHAN","DQ",-0.339,"F","200M",0,"Running"
1,"2106","Botswana","Busang Collen KEBINATSHIPI","43.53 WL",0.134,"M","400M",0,"Running"
2,"2932","Trinidad & Tobago","Jereem RICHARDS","43.72 NR",0.145,"M","400M",0,"Running"
3,"2108","Botswana","Bayapo NDORI","44.20 SB",0.144,"M","400M",0,"Running"
4,"2562","Jamaica","Rusheen MCDONALD","44.28",0.201,"M","400M",0,"Running"
5,"2867","South Africa","Zakithi NENE","44.55",0.139,"M","400M",0,"Running"
6,"2606","Japan","Yuki Joseph NAKAJIMA","44.62",0.201,"M","400M",0,"Running"
7,"3029","United States","Jacory PATTERSON","44.7",0.141,"M","400M",0,"Running"
8,"2104","Botswana","Lee Bhekempilo EPPIE","44.77",0.151,"M","400M",0,"Running"
1,"1427","United States","Sydney MCLAUGHLIN-LEVRONE","47.78 CR",0.171,"F","400M",0,"Running"
2,"741","Dominican Republic","Marileidy PAULINO","47.98 NR",0.183,"F","400M",0,"Running"
3,"613","Bahrain","Salwa Eid NASER","48.19 SB",0.189,"F","400M",0,"Running"
4,"1198","Poland","Natalia BUKOWIECKA","49.27 SB",0.168,"F","400M",0,"Running"
5,"851","United Kingdom","Amber ANNING","49.36 SB",0.175,"F","400M",0,"Running"
6,"711","Cuba","Roxana GÓMEZ","49.48 NR",0.195,"F","400M",0,"Running"
7,"1176","Norway","Henriette JÆGER","49.74",0.148,"F","400M",0,"Running"
8,"1035","Jamaica","Nickisha PRYCE","49.97",0.158,"F","400M",0,"Running"
1,"2662","Kenya","Emmanuel WANYONYI","1:41.86 CR",NA,"M","800M",0,"Running"
2,"2007","Algeria","Djamel SEDJATI","1:41.90 SB",NA,"M","800M",0,"Running"
3,"2147","Canada","Marco AROP","1:41.95 SB",NA,"M","800M",0,"Running"
4,"2491","Ireland","Cian MCPHILLIPS","1:42.15 NR",NA,"M","800M",0,"Running"
5,"2271","Spain","Mohamed ATTAOUI","1:42.21 SB",NA,"M","800M",0,"Running"
6,"2363","United Kingdom","Max BURGIN","1:42.29 PB",NA,"M","800M",0,"Running"
7,"2546","Jamaica","Navasky ANDERSON","1:42.76 NR",NA,"M","800M",0,"Running"
8,"2107","Botswana","Tshepiso MASALELA","1:42.77",NA,"M","800M",0,"Running"
1,"1095","Kenya","Lilian ODIRA","1:54.62 CR",NA,"F","800M",0,"Running"
2,"863","United Kingdom","Georgia HUNTER BELL","1:54.90 PB",NA,"F","800M",0,"Running"
3,"861","United Kingdom","Keely HODGKINSON","1:54.91",NA,"F","800M",0,"Running"
4,"1093","Kenya","Sarah MORAA","1:55.74 PB",NA,"F","800M",0,"Running"
5,"1409","United States","Sage HURTA-KLECKER","1:55.89 PB",NA,"F","800M",0,"Running"
6,"1309","Switzerland","Audrey WERRO","1:56.17",NA,"F","800M",0,"Running"
7,"1092","Kenya","Mary MORAA","1:57.10 SB",NA,"F","800M",0,"Running"
8,"530","Australia","Jessica HULL","1:57.30",NA,"F","800M",0,"Running"
1,"2820","Portugal","Isaac NADER","3:34.10",NA,"M","1500M",0,"Running"
2,"2391","United Kingdom","Jake WIGHTMAN","3:34.12",NA,"M","1500M",0,"Running"
3,"2628","Kenya","Reynold CHERUIYOT","3:34.25",NA,"M","1500M",0,"Running"
4,"2629","Kenya","Timothy CHERUIYOT","3:34.50",NA,"M","1500M",0,"Running"
5,"2736","Netherlands","Niels LAROS","3:34.52",NA,"M","1500M",0,"Running"
6,"2408","Germany","Robert FARKEN","3:35.15",NA,"M","1500M",0,"Running"
7,"2530","Italy","Federico RIVA","3:35.33",NA,"M","1500M",0,"Running"
8,"2273","Spain","Adrián BEN","3:35.38",NA,"M","1500M",0,"Running"
9,"2876","South Africa","Tshepo TSHITE","3:35.50",NA,"M","1500M",0,"Running"
10,"2376","United Kingdom","Neil GOURLEY","3:35.56",NA,"M","1500M",0,"Running"
11,"2923","Sweden","Samuel PIHLSTRÖM","3:35.74",NA,"M","1500M",0,"Running"
12,"2480","Ireland","Andrew COSCORAN","3:35.87",NA,"M","1500M",0,"Running"
13,"3011","United States","Jonah KOECH","3:37.00",NA,"M","1500M",0,"Running"
14,"2381","United Kingdom","Josh KERR","4:11.23",NA,"M","1500M",0,"Running"
1,"1088","Kenya","Faith KIPYEGON","3:52.15",NA,"F","1500M",0,"Running"
2,"1083","Kenya","Dorcus EWOI","3:54.92 PB",NA,"F","1500M",0,"Running"
3,"530","Australia","Jessica HULL","3:55.16",NA,"F","1500M",0,"Running"
4,"1078","Kenya","Nelly CHEPCHIRCHIR","3:55.25 PB",NA,"F","1500M",0,"Running"
5,"1405","United States","Nikki HILTZ","3:57.08",NA,"F","1500M",0,"Running"
6,"788","Ethiopia","Freweyni HAILU","3:57.33",NA,"F","1500M",0,"Running"
7,"1204","Poland","Klaudia KAZIMIERSKA","3:57.95 PB",NA,"F","1500M",0,"Running"
8,"839","France","Sarah MADELEINE","3:58.09 PB",NA,"F","1500M",0,"Running"
9,"768","Spain","Marta PÉREZ","3:58.54 SB",NA,"F","1500M",0,"Running"
10,"955","Ireland","Sarah HEALY","3:59.14",NA,"F","1500M",0,"Running"
11,"621","Canada","Gabriela DEBUES-STAFFORD","3:59.65 SB",NA,"F","1500M",0,"Running"
12,"1229","Portugal","Salomé AFONSO","4:00.47",NA,"F","1500M",0,"Running"
13,"1416","United States","Sinclaire JOHNSON","4:00.92",NA,"F","1500M",0,"Running"
14,"923","Germany","Nele WESSEL","4:10.31",NA,"F","1500M",0,"Running"
1,"3001","United States","Cole HOCKER","12:58.30",NA,"M","5000M",0,"Running"
2,"2086","Belgium","Isaac KIMELI","12:58.78 SB",NA,"M","5000M",0,"Running"
3,"2336","France","Jimmy GRESSIER","12:59.33",NA,"M","5000M",0,"Running"
4,"2049","Australia","Ky ROBINSON","12:59.61",NA,"M","5000M",0,"Running"
5,"2305","Ethiopia","Biniam MEHARY","12:59.95",NA,"M","5000M",0,"Running"
6,"3052","United States","Nico YOUNG","13:00.07",NA,"M","5000M",0,"Running"
7,"2139","Bahrain","Birhanu BALEW","13:00.55",NA,"M","5000M",0,"Running"
8,"2992","United States","Grant FISHER","13:00.79",NA,"M","5000M",0,"Running"
9,"2351","France","Yann SCHRUB","13:01.34",NA,"M","5000M",0,"Running"
10,"2760","Norway","Jakob INGEBRIGTSEN","13:02.00 SB",NA,"M","5000M",0,"Running"
11,"2641","Kenya","Mathew Kipchumba KIPSANG","13:03.67",NA,"M","5000M",0,"Running"
12,"2732","Netherlands","Mike FOPPEN","13:05.94",NA,"M","5000M",0,"Running"
13,"2299","Ethiopia","Hagos GEBRHIWET","13:07.02",NA,"M","5000M",0,"Running"
14,"2327","France","Etienne DAGUINOS","13:11.72",NA,"M","5000M",0,"Running"
15,"2967","Uruguay","Valentin SOCA","13:34.35",NA,"M","5000M",0,"Running"
16,"2383","United Kingdom","George MILLS","13:44.88",NA,"M","5000M",0,"Running"
1,"1076","Kenya","Beatrice CHEBET","14:54.36",NA,"F","5000M",0,"Running"
2,"1088","Kenya","Faith KIPYEGON","14:55.07 SB",NA,"F","5000M",0,"Running"
3,"972","Italy","Nadia BATTOCLETTI","14:55.42",NA,"F","5000M",0,"Running"
4,"1407","United States","Shelby HOULIHAN","14:57.42",NA,"F","5000M",0,"Running"
5,"796","Ethiopia","Gudaf TSEGAY","14:57.82",NA,"F","5000M",0,"Running"
6,"1374","United States","Josette ANDREWS","15:00.25",NA,"F","5000M",0,"Running"
7,"757","Spain","Marta GARCÍA","15:01.02",NA,"F","5000M",0,"Running"
8,"873","United Kingdom","Hannah NUTTALL","15:01.25",NA,"F","5000M",0,"Running"
9,"782","Ethiopia","Fantaye BELAYNEH","15:02.05",NA,"F","5000M",0,"Running"
10,"521","Australia","Rose DAVIES","15:03.61",NA,"F","5000M",0,"Running"
11,"527","Australia","Linden HALL","15:04.03",NA,"F","5000M",0,"Running"
12,"1067","Japan","Nozomi TANAKA","15:07.34",NA,"F","5000M",0,"Running"
13,"785","Ethiopia","Medina EISA","15:07.47",NA,"F","5000M",0,"Running"
14,"1145","Netherlands","Maureen KOSTER","15:07.58",NA,"F","5000M",0,"Running"
15,"1094","Kenya","Agnes Jebet NGETICH","15:13.78",NA,"F","5000M",0,"Running"
16,"1356","Uganda","Joy CHEPTOYEK","15:18.98",NA,"F","5000M",0,"Running"
1,"2336","France","Jimmy GRESSIER","28:55.77 SB",NA,"M","10000M",0,"Running"
2,"2304","Ethiopia","Yomif KEJELCHA","28:55.83 SB",NA,"M","10000M",0,"Running"
3,"2909","Sweden","Andreas ALMGREN","28:56.02",NA,"M","10000M",0,"Running"
4,"2638","Kenya","Ishmael Rokitto KIPKURUI","28:56.48",NA,"M","10000M",0,"Running"
5,"3052","United States","Nico YOUNG","28:56.62 SB",NA,"M","10000M",0,"Running"
6,"2296","Ethiopia","Selemon BAREGA","28:57.21",NA,"M","10000M",0,"Running"
7,"2646","Kenya","Edwin KURGAT","28:57.83",NA,"M","10000M",0,"Running"
8,"2992","United States","Grant FISHER","28:57.85 SB",NA,"M","10000M",0,"Running"
9,"2285","Spain","Thierry NDIKUMWENAYO","28:59.07 SB",NA,"M","10000M",0,"Running"
10,"2880","South Africa","Adriaan WILDSCHUTT","28:59.47",NA,"M","10000M",0,"Running"
11,"2979","United States","Graham BLANKS","29:01.27",NA,"M","10000M",0,"Running"
12,"2295","Ethiopia","Berihu AREGAWI","29:02.02",NA,"M","10000M",0,"Running"
13,"2950","Uganda","Dan KIBET","29:03.22",NA,"M","10000M",0,"Running"
14,"2901","Switzerland","Dominic Lokinyomo LOBALU","29:11.65 SB",NA,"M","10000M",0,"Running"
15,"2074","Burundi","Egide NTAKARUTIMANA","29:12.81",NA,"M","10000M",0,"Running"
16,"2473","India","Gulveer SINGH","29:13.33",NA,"M","10000M",0,"Running"
17,"2761","Norway","Awet Nftalem KIBRAB","29:19.91",NA,"M","10000M",0,"Running"
18,"2947","Uganda","Oscar CHELIMO","29:26.66 PB",NA,"M","10000M",0,"Running"
19,"2485","Ireland","Efrem GIDEY","29:30.37",NA,"M","10000M",0,"Running"
20,"2618","Japan","Mebuki SUZUKI","29:33.60",NA,"M","10000M",0,"Running"
21,"2073","Burundi","Célestin NDIKUMANA","29:38.86",NA,"M","10000M",0,"Running"
22,"2595","Japan","Jun KASAI","29:41.84",NA,"M","10000M",0,"Running"
23,"2403","Germany","Davor Aaron BIENENFELD","29:51.41",NA,"M","10000M",0,"Running"
NA,"2639","Kenya","Benson KIPLANGAT","DNF",NA,"M","10000M",0,"Running"
NA,"2146","Canada","Mohammed AHMED","DNF",NA,"M","10000M",0,"Running"
NA,"2266","Eritrea","Merhawi MEBRAHTU","DNS",NA,"M","10000M",0,"Running"
NA,"2177","Chile","Ignacio VELASQUEZ","DNS",NA,"M","10000M",0,"Running"
1,"1076","Kenya","Beatrice CHEBET","30:37.61",NA,"F","10000M",0,"Running"
2,"972","Italy","Nadia BATTOCLETTI","30:38.23 NR",NA,"F","10000M",0,"Running"
3,"796","Ethiopia","Gudaf TSEGAY","30:39.65 SB",NA,"F","10000M",0,"Running"
4,"1094","Kenya","Agnes Jebet NGETICH","30:42.66",NA,"F","10000M",0,"Running"
5,"794","Ethiopia","Ejgayehu TAYE","30:55.52 SB",NA,"F","10000M",0,"Running"
6,"1050","Japan","Ririka HIRONAKA","31:09.62",NA,"F","10000M",0,"Running"
7,"1356","Uganda","Joy CHEPTOYEK","31:15.03",NA,"F","10000M",0,"Running"
8,"795","Ethiopia","Fotyen TESFAY","31:21.67 SB",NA,"F","10000M",0,"Running"
9,"546","Australia","Lauren RYAN","31:27.78",NA,"F","10000M",0,"Running"
10,"866","United Kingdom","Megan KEITH","31:33.85",NA,"F","10000M",0,"Running"
11,"859","United Kingdom","Calli HAUGER-THACKERY","31:37.81",NA,"F","10000M",0,"Running"
12,"1388","United States","Elise CRANNY","31:40.07",NA,"F","10000M",0,"Running"
13,"581","Belgium","Jana VAN LENT","31:44.05",NA,"F","10000M",0,"Running"
14,"1410","United States","Emily INFELD","31:47.65",NA,"F","10000M",0,"Running"
15,"1277","Slovenia","Klara LUKAN","31:49.76",NA,"F","10000M",0,"Running"
16,"1072","Kazakhstan","Daisy JEPKEMEI","31:49.87",NA,"F","10000M",0,"Running"
17,"510","Australia","Isobel BATT-DOYLE","31:53.41",NA,"F","10000M",0,"Running"
18,"1441","United States","Taylor ROE","32:12.19",NA,"F","10000M",0,"Running"
19,"1001","Italy","Elisa PALMERO","32:12.72",NA,"F","10000M",0,"Running"
20,"1070","Japan","Mikuni YADA","32:28.94",NA,"F","10000M",0,"Running"
21,"786","Ethiopia","Tsigie GEBRESELAMA","32:33.73 SB",NA,"F","10000M",0,"Running"
22,"567","Burundi","Francine NIYOMUKUNZI","32:52.59",NA,"F","10000M",0,"Running"
23,"890","Germany","Eva DIETERICH","33:46.76",NA,"F","10000M",0,"Running"
24,"603","Brazil","Nubia DE OLIVEIRA SILVA","36:00.21",NA,"F","10000M",0,"Running"
NA,"1354","Uganda","Sarah CHELANGAT","DNF",NA,"F","10000M",0,"Running"
NA,"1079","Kenya","Janeth CHEPNGETICH","DNF",NA,"F","10000M",0,"Running"
NA,"1353","Uganda","Rebecca CHELANGAT","DNF",NA,"F","10000M",0,"Running"
1,"2926","Tanzania","Alphonce Felix SIMBU","2:09:48 SB",NA,"M","MARATHON",0,"Running"
2,"2423","Germany","Amanal PETROS","2:09:48",NA,"M","MARATHON",0,"Running"
3,"2503","Italy","Iliass AOUANI","2:09:53",NA,"M","MARATHON",0,"Running"
4,"2497","Israel","Haimro ALAME","2:10:03",NA,"M","MARATHON",0,"Running"
5,"2946","Uganda","Abel CHELANGAT","2:10:11",NA,"M","MARATHON",0,"Running"
6,"2510","Italy","Yohanes CHIAPPINELLI","2:10:15 SB",NA,"M","MARATHON",0,"Running"
7,"2498","Israel","Gashau AYALE","2:10:27",NA,"M","MARATHON",0,"Running"
8,"2264","Eritrea","Samsom AMARE","2:10:34",NA,"M","MARATHON",0,"Running"
9,"3051","United States","Clayton YOUNG","2:10:43 SB",NA,"M","MARATHON",0,"Running"
10,"3067","Zimbabwe","Isaac MPOFU","2:10:46 SB",NA,"M","MARATHON",0,"Running"
11,"2598","Japan","Ryota KONDO","2:10:53",NA,"M","MARATHON",0,"Running"
12,"2161","Canada","Cameron LEVINS","2:11:07 SB",NA,"M","MARATHON",0,"Running"
13,"2426","Germany","Richard RINGER","2:11:14",NA,"M","MARATHON",0,"Running"
14,"2916","Sweden","Suldan HASSAN","2:11:18",NA,"M","MARATHON",0,"Running"
15,"2952","Uganda","Victor KIPLANGAT","2:11:33 SB",NA,"M","MARATHON",0,"Running"
16,"2635","Kenya","Kennedy KIMUTAI","2:11:45",NA,"M","MARATHON",0,"Running"
17,"2088","Belgium","Koen NAERT","2:12:52",NA,"M","MARATHON",0,"Running"
18,"2003","Algeria","Abderrazak CHARIK","2:13:06 SB",NA,"M","MARATHON",0,"Running"
19,"2941","Turkey","Kaan Kigen ÖZBILEN","2:13:27",NA,"M","MARATHON",0,"Running"
20,"2689","Morocco","Mohamed Reda EL AARABY","2:13:29",NA,"M","MARATHON",0,"Running"
21,"2897","Sudan","Yaseen ABDALLA","2:13:32 SB",NA,"M","MARATHON",0,"Running"
22,"2654","Kenya","Vincent Kipkemoi NGETICH","2:13:38",NA,"M","MARATHON",0,"Running"
23,"2599","Japan","Naoki KOYAMA","2:13:42",NA,"M","MARATHON",0,"Running"
24,"2489","Ireland","Peter LYNCH","2:14:12",NA,"M","MARATHON",0,"Running"
25,"2913","Sweden","Ebba Tulu CHALA","2:14:40",NA,"M","MARATHON",0,"Running"
26,"2184","China","Jie HE","2:14:52",NA,"M","MARATHON",0,"Running"
27,"2267","Eritrea","Oqbe Kibrom RUESOM","2:15:01",NA,"M","MARATHON",0,"Running"
28,"2991","United States","Reed FISCHER","2:15:17 SB",NA,"M","MARATHON",0,"Running"
29,"2253","Denmark","Jacob Sommer SIMONSEN","2:15:31 SB",NA,"M","MARATHON",0,"Running"
30,"2205","China","Shaohui YANG","2:15:35",NA,"M","MARATHON",0,"Running"
31,"2200","China","Xiangdong WU","2:16:01",NA,"M","MARATHON",0,"Running"
32,"2968","Uruguay","Cristhian ZAMORA","2:16:09 SB",NA,"M","MARATHON",0,"Running"
33,"2855","South Africa","Elroy GELANT","2:16:32",NA,"M","MARATHON",0,"Running"
34,"2624","Japan","Yuya YOSHIDA","2:16:58 SB",NA,"M","MARATHON",0,"Running"
35,"2159","Canada","Justin KENT","2:17:12",NA,"M","MARATHON",0,"Running"
36,"2168","Canada","Ben PREISNER","2:17:32",NA,"M","MARATHON",0,"Running"
37,"3054","Uzbekistan","Shokhrukh DAVLATOV","2:18:04 SB",NA,"M","MARATHON",0,"Running"
38,"2119","Brazil","Johnatas DE OLIVEIRA","2:18:22",NA,"M","MARATHON",0,"Running"
39,"2018",NA,"Kiruhura Emmanuel NTAGUNGA","2:19:11",NA,"M","MARATHON",0,"Running"
40,"2969","United States","CJ ALBERTSON","2:19:25",NA,"M","MARATHON",0,"Running"
41,"2017",NA,"Omar HASSAN","2:19:47",NA,"M","MARATHON",0,"Running"
42,"2825","Portugal","Rui PINTO","2:19:50",NA,"M","MARATHON",0,"Running"
43,"2734","Netherlands","Tom HENDRIKSE","2:19:57 SB",NA,"M","MARATHON",0,"Running"
44,"2057","Australia","Tim VINCENT","2:20:12 SB",NA,"M","MARATHON",0,"Running"
45,"2132","Brazil","Paulo Roberto PAULA","2:20:18",NA,"M","MARATHON",0,"Running"
46,"2265","Eritrea","Ablelom MARYO","2:20:46",NA,"M","MARATHON",0,"Running"
47,"2001","Algeria","Mohammed BENYETTOU","2:20:51 SB",NA,"M","MARATHON",0,"Running"
48,"2704","Mexico","Marcelo LAGUERA","2:20:56",NA,"M","MARATHON",0,"Running"
49,"2765","Norway","Sondre Nordstad MOEN","2:21:22",NA,"M","MARATHON",0,"Running"
50,"2793","Poland","Mateusz KACZOR","2:21:51 SB",NA,"M","MARATHON",0,"Running"
51,"2292","Estonia","Tiidrek NURME","2:21:58",NA,"M","MARATHON",0,"Running"
52,"2059","Austria","Aaron GRUEN","2:22:07",NA,"M","MARATHON",0,"Running"
53,"2925","Tanzania","Josephat Joshua GISEMO","2:22:47 SB",NA,"M","MARATHON",0,"Running"
54,"2173","Chile","Hugo CATRILEO","2:23:29",NA,"M","MARATHON",0,"Running"
55,"2940","Turkey","Ilham Tanui ÖZBILEN","2:23:35",NA,"M","MARATHON",0,"Running"
56,"2782","Peru","Ferdinand CERECEDA","2:23:46 SB",NA,"M","MARATHON",0,"Running"
57,"2026","Australia","Liam BOUDIN","2:24:39",NA,"M","MARATHON",0,"Running"
58,"2712","North Macedonia","Dario IVANOVSKI","2:26:31",NA,"M","MARATHON",0,"Running"
59,"2222","Cape Verde","Samuel FREIRE","2:27:26 SB",NA,"M","MARATHON",0,"Running"
60,"2260","Ecuador","Segundo JAMI","2:28:07",NA,"M","MARATHON",0,"Running"
