"POSITION","BIB","COUNTRY","ATHELTE","MARK","REACTION.TIME","GENDER","EVENT","MIXED","EventGroup"
4,"121","Ecuador","Paula Milena TORRES","1:26:18 PB",NA,"F","20 KILOMETRES RACE WALK",0,"Running"
5,"163","Peru","Kimberly GARCÍA LEÓN","1:26:22 NR",NA,"F","20 KILOMETRES RACE WALK",0,"Running"
6,"114","China","Jiayu YANG","1:27:16 SB",NA,"F","20 KILOMETRES RACE WALK",0,"Running"
7,"122","Spain","Antia CHAMOSA","1:27:55 =PB",NA,"F","20 KILOMETRES RACE WALK",0,"Running"
8,"113","China","Quanming WU","1:28:08",NA,"F","20 KILOMETRES RACE WALK",0,"Running"
9,"111","China","Li MA","1:28:52",NA,"F","20 KILOMETRES RACE WALK",0,"Running"
10,"161","Peru","Mary Luz ANDIA","1:28:52",NA,"F","20 KILOMETRES RACE WALK",0,"Running"
11,"130","France","Pauline STEY","1:28:52",NA,"F","20 KILOMETRES RACE WALK",0,"Running"
12,"106","Brazil","Viviane LYRA","1:29:02",NA,"F","20 KILOMETRES RACE WALK",0,"Running"
13,"176","Ukraine","Lyudmila OLYANOVSKA","1:29:16",NA,"F","20 KILOMETRES RACE WALK",0,"Running"
14,"166","Poland","Katarzyna ZDZIEBŁO","1:29:31",NA,"F","20 KILOMETRES RACE WALK",0,"Running"
15,"144","Italy","Alexandrina MIHAI","1:29:44",NA,"F","20 KILOMETRES RACE WALK",0,"Running"
16,"134","Greece","Antigoni NTRISMPIOTI","1:29:47",NA,"F","20 KILOMETRES RACE WALK",0,"Running"
17,"142","Italy","Federica CURIAZZI","1:29:48",NA,"F","20 KILOMETRES RACE WALK",0,"Running"
18,"149","Japan","Kumiko OKADA","1:30:12",NA,"F","20 KILOMETRES RACE WALK",0,"Running"
19,"177","Ukraine","Mariia SAKHARUK","1:30:38",NA,"F","20 KILOMETRES RACE WALK",0,"Running"
20,"118","Ecuador","Magaly Beatriz BONILLA","1:30:39 SB",NA,"F","20 KILOMETRES RACE WALK",0,"Running"
21,"101","Australia","Rebecca HENDERSON","1:31:05",NA,"F","20 KILOMETRES RACE WALK",0,"Running"
22,"124","Spain","Paula JUAREZ","1:31:50",NA,"F","20 KILOMETRES RACE WALK",0,"Running"
23,"154","Kazakhstan","Yasmina TOXANBAYEVA","1:31:51",NA,"F","20 KILOMETRES RACE WALK",0,"Running"
24,"178","Ukraine","Hanna SHEVCHUK","1:32:15",NA,"F","20 KILOMETRES RACE WALK",0,"Running"
25,"172","Slovakia","Hana BURZALOVÁ","1:32:28",NA,"F","20 KILOMETRES RACE WALK",0,"Running"
26,"169","Puerto Rico","Rachelle DE ORBETA","1:32:47 SB",NA,"F","20 KILOMETRES RACE WALK",0,"Running"
27,"181","United States","Lauren HARRIS","1:32:50 PB",NA,"F","20 KILOMETRES RACE WALK",0,"Running"
28,"167","Portugal","Vitória OLIVEIRA","1:33:02",NA,"F","20 KILOMETRES RACE WALK",0,"Running"
29,"129","France","Clémence BERETTA","1:33:14",NA,"F","20 KILOMETRES RACE WALK",0,"Running"
30,"164","Peru","Evelyn INGA","1:33:29",NA,"F","20 KILOMETRES RACE WALK",0,"Running"
31,"158","Mexico","Alejandra ORTEGA","1:34:18 SB",NA,"F","20 KILOMETRES RACE WALK",0,"Running"
32,"105","Brazil","Gabriela DE SOUSA","1:34:28 SB",NA,"F","20 KILOMETRES RACE WALK",0,"Running"
33,"102","Australia","Elizabeth MCMILLEN","1:34:58",NA,"F","20 KILOMETRES RACE WALK",0,"Running"
34,"135","Greece","Christina PAPADOPOULOU","1:35:05 SB",NA,"F","20 KILOMETRES RACE WALK",0,"Running"
35,"157","Mexico","Ilse GUERRERO","1:35:20",NA,"F","20 KILOMETRES RACE WALK",0,"Running"
36,"139","Hungary","Tiziana SPILLER","1:35:32",NA,"F","20 KILOMETRES RACE WALK",0,"Running"
37,"152","Japan","Ayane YANAI","1:35:44",NA,"F","20 KILOMETRES RACE WALK",0,"Running"
38,"127","Estonia","Jekaterina MIROTVORTSEVA","1:36:25",NA,"F","20 KILOMETRES RACE WALK",0,"Running"
39,"136","Greece","Panagiota TSINOPOULOU","1:37:40 SB",NA,"F","20 KILOMETRES RACE WALK",0,"Running"
40,"116","Colombia","Lucy Alejandra MENDOZA MALAGON","1:38:05",NA,"F","20 KILOMETRES RACE WALK",0,"Running"
41,"117","Colombia","Laura Cristina MOJICA CHALARCA","1:42:08",NA,"F","20 KILOMETRES RACE WALK",0,"Running"
NA,"100","Australia","Alexandra GRIFFIN","DNF",NA,"F","20 KILOMETRES RACE WALK",0,"Running"
NA,"108","Brazil","Erica SENA","DNF",NA,"F","20 KILOMETRES RACE WALK",0,"Running"
NA,"128","Ethiopia","Sintayehu MASIRE","DNF",NA,"F","20 KILOMETRES RACE WALK",0,"Running"
NA,"145","Italy","Antonella PALMISANO","DNF",NA,"F","20 KILOMETRES RACE WALK",0,"Running"
NA,"174","Turkey","Meryem BEKMEZ","DNF",NA,"F","20 KILOMETRES RACE WALK",0,"Running"
NA,"112","China","Li PENG","DQ",NA,"F","20 KILOMETRES RACE WALK",0,"Running"
NA,"137","Guatemala","Mirna ORTÍZ","DQ",NA,"F","20 KILOMETRES RACE WALK",0,"Running"
NA,"120","Ecuador","Johana ORDÓŇEZ","DNS",NA,"F","20 KILOMETRES RACE WALK",0,"Running"
1,"308","Canada","Evan DUNFEE","2:28:22",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
2,"305","Brazil","Caio BONFIM","2:28:55 SB",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
3,"354","Japan","Hayato KATSUKI","2:29:16",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
4,"314","China","Yingcheng ZHOU","2:29:31",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
5,"334","France","Aurélien QUINION","2:30:24",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
6,"324","Spain","Daniel CHAMOSA","2:30:42",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
7,"374","Slovakia","Dominik ČERNÝ","2:31:17",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
8,"352","Italy","Riccardo ORSONI","2:31:39",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
9,"319","Ecuador","David HURTADO","2:32:35",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
10,"371","Poland","Maher BEN HLIMA","2:33:08",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
11,"301","Australia","Rhydian COWLEY","2:33:28",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
12,"327","Spain","Miguel Ángel LÓPEZ","2:33:45",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
13,"323","Spain","Manuel BERMÚDEZ","2:35:19",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
14,"339","Germany","Christopher LINKE","2:36:10",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
15,"306","Brazil","Matheus CORREA","2:36:35 PB",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
16,"337","Germany","Jonathan HILBERT","2:36:47",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
17,"336","Germany","Johannes FRENZL","2:36:47",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
18,"355","Japan","Masatora KAWANO","2:37:15 SB",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
19,"376","Sweden","Perseus KARLSTRÖM","2:37:47",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
20,"372","Portugal","João VIEIRA","2:38:20",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
21,"333","France","Kevin CAMPION","2:39:12",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
22,"342","Hungary","Bence VENYERCSÁN","2:39:14",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
23,"344","India","Sandeep KUMAR","2:39:15",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
24,"363","Latvia","Raivo SAULGRIEZIS","2:40:19",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
25,"303","Australia","Will THOMPSON","2:40:19 SB",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
26,"357","Japan","Satoshi MARUO","2:40:29",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
27,"307","Brazil","Max Batista GONCALVES DOS SANTOS","2:41:04 SB",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
28,"347","Ireland","Oisin LANE","2:41:36",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
29,"340","Greece","Alexandros PAPAMICHAIL","2:42:07",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
30,"322","Ecuador","Oscar PATÍN","2:43:48",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
31,"318","Czechia","Vít HLAVÁČ","2:44:08",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
32,"300","Australia","Mitchell BAKER","2:51:11 SB",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
33,"369","Panama","Yassir CABRERA","2:51:37",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
34,"335","United Kingdom","Cameron CORBISHLEY","2:52:15",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
NA,"311","China","Qin WANG","DNF",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
NA,"321","Ecuador","Xavier MENA","DNF",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
NA,"351","Italy","Matteo GIUPPONI","DNF",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
NA,"362","South Korea","Mingyu KIM","DNF",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
NA,"365","Mexico","José Luis DOCTOR","DNF",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
NA,"366","Mexico","Andres Eduardo OLIVAS NÚÑEZ","DNF",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
NA,"368","Mexico","Julio César SALAZAR","DNF",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
NA,"375","Slovakia","Michal MORVAY","DNF",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
NA,"379","Ukraine","Ivan BANZERUK","DNF",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
NA,"380","Ukraine","Ihor HLAVAN","DNF",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
NA,"313","China","Jinrui ZHANG","DQ",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
NA,"315","Colombia","César HERRERA","DQ",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
NA,"316","Colombia","José MONTANA","DQ",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
NA,"343","India","Ram BABOO","DQ",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
NA,"348","Italy","Teodorico CAPORASO","DQ",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
NA,"382","Ukraine","Yehor SHELEST","DQ",NA,"M","35 KILOMETRES RACE WALK",0,"Running"
1,"126","Spain","María PÉREZ","2:39:01",NA,"F","35 KILOMETRES RACE WALK",0,"Running"
2,"145","Italy","Antonella PALMISANO","2:42:24",NA,"F","35 KILOMETRES RACE WALK",0,"Running"
3,"121","Ecuador","Paula Milena TORRES","2:42:44 NR",NA,"F","35 KILOMETRES RACE WALK",0,"Running"
4,"112","China","Li PENG","2:43:29 PB",NA,"F","35 KILOMETRES RACE WALK",0,"Running"
5,"166","Poland","Katarzyna ZDZIEBŁO","2:44:37 SB",NA,"F","35 KILOMETRES RACE WALK",0,"Running"
6,"123","Spain","Raquel GONZÁLEZ","2:45:41 SB",NA,"F","35 KILOMETRES RACE WALK",0,"Running"
7,"125","Spain","Cristina MONTESINOS","2:46:44",NA,"F","35 KILOMETRES RACE WALK",0,"Running"
8,"178","Ukraine","Hanna SHEVCHUK","2:49:44",NA,"F","35 KILOMETRES RACE WALK",0,"Running"
9,"101","Australia","Rebecca HENDERSON","2:50:03",NA,"F","35 KILOMETRES RACE WALK",0,"Running"
10,"163","Peru","Kimberly GARCÍA LEÓN","2:50:37",NA,"F","35 KILOMETRES RACE WALK",0,"Running"
11,"141","Italy","Nicole COLOMBI","2:51:04",NA,"F","35 KILOMETRES RACE WALK",0,"Running"
12,"172","Slovakia","Hana BURZALOVÁ","2:51:15",NA,"F","35 KILOMETRES RACE WALK",0,"Running"
13,"106","Brazil","Viviane LYRA","2:51:16",NA,"F","35 KILOMETRES RACE WALK",0,"Running"
14,"104","Australia","Olivia SANDERY","2:51:43",NA,"F","35 KILOMETRES RACE WALK",0,"Running"
15,"150","Japan","Yukiko UMENO","2:56:28",NA,"F","35 KILOMETRES RACE WALK",0,"Running"
16,"115","China","Hang YIN","2:56:51",NA,"F","35 KILOMETRES RACE WALK",0,"Running"
17,"143","Italy","Eleonora Anna GIORGI","2:58:50",NA,"F","35 KILOMETRES RACE WALK",0,"Running"
18,"132","Greece","Olga FIASKA","2:59:59 SB",NA,"F","35 KILOMETRES RACE WALK",0,"Running"
19,"103","Australia","Allanah PITCHER","3:00:08",NA,"F","35 KILOMETRES RACE WALK",0,"Running"
20,"151","Japan","Maika YAGI","3:01:27",NA,"F","35 KILOMETRES RACE WALK",0,"Running"
21,"147","Japan","Masumi FUCHISE","3:03:29",NA,"F","35 KILOMETRES RACE WALK",0,"Running"
22,"183","United States","Maria MICHTA-COFFEY","3:05:02 SB",NA,"F","35 KILOMETRES RACE WALK",0,"Running"
23,"119","Ecuador","Karla JARAMILLO","3:05:03",NA,"F","35 KILOMETRES RACE WALK",0,"Running"
24,"140","India","PRIYANKA","3:05:58",NA,"F","35 KILOMETRES RACE WALK",0,"Running"
25,"165","Poland","Agnieszka ELLWARD","3:08:21",NA,"F","35 KILOMETRES RACE WALK",0,"Running"
26,"109","Brazil","Mayara Luize VICENTAINER","3:08:54",NA,"F","35 KILOMETRES RACE WALK",0,"Running"
27,"168","Portugal","Joana PONTES","3:09:07 PB",NA,"F","35 KILOMETRES RACE WALK",0,"Running"
28,"111","China","Li MA","3:09:32",NA,"F","35 KILOMETRES RACE WALK",0,"Running"
29,"173","Slovakia","Ema HAČUNDOVÁ","3:10:21",NA,"F","35 KILOMETRES RACE WALK",0,"Running"
30,"182","United States","Miranda MELVILLE","3:12:07",NA,"F","35 KILOMETRES RACE WALK",0,"Running"
31,"162","Peru","Brigitte COAQUIRA ALBARRACIN","3:13:22",NA,"F","35 KILOMETRES RACE WALK",0,"Running"
32,"179","United States","Katie BURNETT","3:14:13",NA,"F","35 KILOMETRES RACE WALK",0,"Running"
33,"175","Turkey","Kader GÜVENÇ","3:14:46 PB",NA,"F","35 KILOMETRES RACE WALK",0,"Running"
34,"171","South Africa","Jessica GROENEWALD","3:16:03",NA,"F","35 KILOMETRES RACE WALK",0,"Running"
35,"153","Kazakhstan","Polina REPINA","3:20:00",NA,"F","35 KILOMETRES RACE WALK",0,"Running"
36,"107","Brazil","Elianay PEREIRA","3:20:32",NA,"F","35 KILOMETRES RACE WALK",0,"Running"
37,"131","Greece","Sofia ALIKANIOTI","3:21:06",NA,"F","35 KILOMETRES RACE WALK",0,"Running"
38,"170","Puerto Rico","Naomi GARCIA","3:21:57",NA,"F","35 KILOMETRES RACE WALK",0,"Running"
NA,"120","Ecuador","Johana ORDÓŇEZ","DNF",NA,"F","35 KILOMETRES RACE WALK",0,"Running"
NA,"134","Greece","Antigoni NTRISMPIOTI","DNF",NA,"F","35 KILOMETRES RACE WALK",0,"Running"
NA,"138","Hungary","Viktória MADARÁSZ","DNF",NA,"F","35 KILOMETRES RACE WALK",0,"Running"
NA,"155","Kazakhstan","Galina YAKUSHEVA","DNF",NA,"F","35 KILOMETRES RACE WALK",0,"Running"
NA,"159","Mexico","Valeria ORTUÑO","DNF",NA,"F","35 KILOMETRES RACE WALK",0,"Running"
NA,"160","Mexico","Karla Ximena SERRANO","DNF",NA,"F","35 KILOMETRES RACE WALK",0,"Running"
NA,"161","Peru","Mary Luz ANDIA","DNF",NA,"F","35 KILOMETRES RACE WALK",0,"Running"
NA,"110","Canada","Olivia LUNDMAN","DQ",NA,"F","35 KILOMETRES RACE WALK",0,"Running"
NA,"156","Mexico","Alegna GONZÁLEZ","DNS",NA,"F","35 KILOMETRES RACE WALK",0,"Running"
1,"USA","United States","Christian COLEMAN Kenneth BEDNAREK Courtney LINDSEY Noah LYLES","37.29 WL",0.141,"M","4X100 METRES RELAY",0,"Running"
2,"CAN","Canada","Aaron BROWN Jerome BLAKE Brendon RODNEY Andre DE GRASSE","37.55 SB",0.146,"M","4X100 METRES RELAY",0,"Running"
3,"NED","Netherlands","Nsikak EKPO Taymir BURNET Xavi MO-AJOK Elvis AFRIFA","37.81 NR",0.145,"M","4X100 METRES RELAY",0,"Running"
4,"GHA","Ghana","Ibrahim FUSEINI Benjamin AZAMATI Joseph Paul AMOAH Abdul-Rasheed SAMINU","37.93",0.16,"M","4X100 METRES RELAY",0,"Running"
5,"GER","Germany","Julian WAGNER Marvin SCHULTE Owen ANSAH Lucas ANSAH-PEPRAH","38.29",0.151,"M","4X100 METRES RELAY",0,"Running"
6,"JPN","Japan","Yuki KOIKE Hiroki YANAGITA Yoshihide KIRYU Towa UZAWA","38.35",0.162,"M","4X100 METRES RELAY",0,"Running"
7,"FRA","France","Ryan ZEZE Jeff ERIUS Lenny CHANTEUR Aymeric PRIAM","38.58",0.147,"M","4X100 METRES RELAY",0,"Running"
NA,"AUS","Australia","Connor BOND Jacob DESPARD Calab LAW Rohan BROWNING","DNF",0.15,"M","4X100 METRES RELAY",0,"Running"
1,"USA","United States","Melissa JEFFERSON-WOODEN Twanisha TERRY Kayla WHITE Sha'Carri RICHARDSON","41.75",0.154,"F","4X100 METRES RELAY",0,"Running"
2,"JAM","Jamaica","Shelly-Ann FRASER-PRYCE Tia CLAYTON Tina CLAYTON Jonielle SMITH","41.79 SB",0.14,"F","4X100 METRES RELAY",0,"Running"
3,"GER","Germany","Sina MAYER Rebekka HAASE Sophia JUNK Gina LÜCKENKEMPER","41.87",0.151,"F","4X100 METRES RELAY",0,"Running"
4,"GBR","United Kingdom","Dina ASHER-SMITH Amy HUNT Desiree HENRY Daryll NEITA","42.07",0.14,"F","4X100 METRES RELAY",0,"Running"
5,"ESP","Spain","Esperança CLADERA Jaël BESTUÉ Paula SEVILLA Maria Isabel PÉREZ","42.47",0.133,"F","4X100 METRES RELAY",0,"Running"
6,"FRA","France","Marie-ange RIMLINGER Sarah RICHARD Helene PARISOT Gémima JOSEPH","42.81",0.175,"F","4X100 METRES RELAY",0,"Running"
7,"CAN","Canada","Sade MCCREATH Jacqueline MADOGO Marie-Éloise LECLAIR Audrey LEDUC","42.82",0.15,"F","4X100 METRES RELAY",0,"Running"
NA,"POL","Poland","Magdalena NIEMCZYK Pia SKRZYSZOWSKA Krystsina TSIMANOUSKAYA Ewa SWOBODA","DQ",0.154,"F","4X100 METRES RELAY",0,"Running"
1,"BOT","Botswana","Lee Bhekempilo EPPIE Letsile TEBOGO Bayapo NDORI Busang Collen KEBINATSHIPI","2:57.76",0.168,"M","4X400 METRES RELAY",0,"Running"
2,"USA","United States","Vernon NORWOOD Jacory PATTERSON Khaleb MCRAE Rai BENJAMIN","2:57.83 SB",0.171,"M","4X400 METRES RELAY",0,"Running"
3,"RSA","South Africa","Lythe PILLAY Udeme OKON Wayde VAN NIEKERK Zakithi NENE","2:57.83",0.147,"M","4X400 METRES RELAY",0,"Running"
4,"BEL","Belgium","Jonathan SACOOR Robin VANDERBEMDEN Alexander DOOM Daniel SEGERS","2:59.48",0.133,"M","4X400 METRES RELAY",0,"Running"
5,"QAT","Qatar","Ammar Ismail YAHIA IBRAHIM Bassem HEMEIDA Ismail Doudai ABAKAR Abderrahman SAMBA","3:01.64",0.183,"M","4X400 METRES RELAY",0,"Running"
6,"GBR","United Kingdom","Lee THOMPSON Toby HARRIES Lewis DAVEY Charles DOBSON","3:03.05",0.225,"M","4X400 METRES RELAY",0,"Running"
7,"JAM","Jamaica","Delano KENNEDY Jevaughn POWELL Jasauna DENNIS Rusheen MCDONALD","3:03.46",0.208,"M","4X400 METRES RELAY",0,"Running"
8,"NED","Netherlands","Jonas PHIJFFERS Terrence AGARD Liemarvin BONEVACIA Ramsey ANGELA","3:04.84",0.183,"M","4X400 METRES RELAY",0,"Running"
9,"POR","Portugal","Pedro AFONSO Omar ELKHATIB João COELHO Ricardo DOS SANTOS","3:09.06",0.156,"M","4X400 METRES RELAY",0,"Running"
1,"USA","United States","Isabella WHITTAKER Lynna IRBY-JACKSON Aaliyah BUTLER Sydney MCLAUGHLIN-LEVRONE","3:16.61 CR",0.163,"F","4X400 METRES RELAY",0,"Running"
2,"JAM","Jamaica","Dejanea OAKLEY Stacey Ann WILLIAMS Andrenette KNIGHT Nickisha PRYCE","3:19.25 SB",0.146,"F","4X400 METRES RELAY",0,"Running"
3,"NED","Netherlands","Eveline SAALBERG Lieke KLAVER Lisanne DE WITTE Femke BOL","3:20.18 SB",0.217,"F","4X400 METRES RELAY",0,"Running"
4,"BEL","Belgium","Naomi VAN DEN BROECK Imke VERVAET Camille LAUS Helena PONETTE","3:22.15 SB",0.16,"F","4X400 METRES RELAY",0,"Running"
5,"POL","Poland","Anna GRYC Alicja WRONA-KUTRZEPA Justyna ŚWIĘTY-ERSETIC Natalia BUKOWIECKA","3:22.91 SB",0.198,"F","4X400 METRES RELAY",0,"Running"
6,"NOR","Norway","Josefine Tomine Eriksen AKS Amalie IUEL Astri ERTZGAARD Henriette JÆGER","3:23.71 NR",0.169,"F","4X400 METRES RELAY",0,"Running"
7,"FRA","France","Alexe DEAU Fanny PELTIER Louise MARAVAL Amandine BROSSIER","3:24.08 SB",0.183,"F","4X400 METRES RELAY",0,"Running"
8,"ITA","Italy","Anna POLINARI Virginia TROIANI Eloisa COIRO Alice MANGIONE","3:25.00",0.144,"F","4X400 METRES RELAY",0,"Running"
1,"USA","United States","Bryce DEADMON Lynna IRBY-JACKSON Jenoah MCKIVER Alexis HOLMES","3:08.80 =CR",0.179,"-","4X400 METRES RELAY",1,"Running"
2,"NED","Netherlands","Eugene OMALLA Lieke KLAVER Jonas PHIJFFERS Femke BOL","3:09.96 SB",0.238,"-","4X400 METRES RELAY",1,"Running"
3,"BEL","Belgium","Dylan BORLÉE Imke VERVAET Alexander DOOM Helena PONETTE","3:10.61",0.203,"-","4X400 METRES RELAY",1,"Running"
4,"POL","Poland","Maksymilian SZWED Natalia BUKOWIECKA Kajetan DUSZYŃSKI Justyna ŚWIĘTY-ERSETIC","3:10.63",0.253,"-","4X400 METRES RELAY",1,"Running"
5,"GBR","United Kingdom","Lewis DAVEY Emily NEWNHAM Toby HARRIES Nicole YEARGIN","3:10.84",0.183,"-","4X400 METRES RELAY",1,"Running"
6,"RSA","South Africa","Gardeo ISAACS Shirley NEKHUBUI Leendert KOEKEMOER Zenéy VAN DER WALT","3:11.89",0.175,"-","4X400 METRES RELAY",1,"Running"
7,"ITA","Italy","Luca SITO Anna POLINARI Vladimir ACETI Alice MANGIONE","3:15.82",0.17,"-","4X400 METRES RELAY",1,"Running"
8,"JPN","Japan","Takuho YOSHIZU Abigeirufuka IDO Kenki IMAIZUMI Nanako MATSUMOTO","3:17.53",0.172,"-","4X400 METRES RELAY",1,"Running"
